DateTime,Station,Energy Production (kWh),Energy Production (W),Water Flow (m³/s)
2022-11-19,Amberd 3,11929.4,42945840000.0,16127.32167209397
2022-11-20,Amberd 3,12264.7,44152920000.0,16580.61278117348
2022-11-21,Amberd 3,12252.66,44109576000.0,16564.33593967835
2022-11-22,Amberd 3,12308.1,44309160000.0,16639.28511679546
2022-11-23,Amberd 3,13042.4,46952640000.0,17631.98318239965
2022-11-24,Amberd 3,12147.1,43729560000.0,16421.629678197787
2022-11-25,Amberd 3,13387.5,48195000000.0,18098.5228833938
2022-11-26,Amberd 3,16871.4,60737040000.0,22808.397309048756
2022-11-27,Amberd 3,14219.8,51191280000.0,19223.706868144403
2022-11-28,Amberd 3,12861.1,46299960000.0,17386.884231978787
2022-11-29,Amberd 3,12796.56,46067616000.0,17299.632790940937
2022-11-30,Amberd 3,12960.92,46659312000.0,17521.830603909348
2022-12-01,Amberd 3,12972.12,46699632000.0,17536.971851811795
2022-12-02,Amberd 3,12694.92,45701712000.0,17162.22596622623
2022-12-03,Amberd 3,12683.3,45659880000.0,17146.51692152744
2022-12-04,Amberd 3,12610.5,45397800000.0,17048.098810161533
2022-12-05,Amberd 3,12613.86,45409896000.0,17052.64118453227
2022-12-06,Amberd 3,12445.3,44803080000.0,16824.76540360044
2022-12-07,Amberd 3,12362.7,44505720000.0,16713.098700319893
2022-12-08,Amberd 3,12406.52,44663472000.0,16772.338832738216
2022-12-09,Amberd 3,11660.88,41979168000.0,15764.3102536328
2022-12-10,Amberd 3,11327.4,40778640000.0,15313.479597337438
2022-12-11,Amberd 3,11133.5,40080600000.0,15051.346743026323
2022-12-12,Amberd 3,12522.3,45080280000.0,16928.861482929762
2022-12-13,Amberd 3,12661.6,45581760000.0,17117.18075371645
2022-12-14,Amberd 3,12035.1,43326360000.0,16270.217199173316
2022-12-15,Amberd 3,12071.22,43456392000.0,16319.047723658707
2022-12-16,Amberd 3,12490.8,44966880000.0,16886.27672320413
2022-12-17,Amberd 3,13755.56,49520016000.0,18596.10214258797
2022-12-18,Amberd 3,13111.42,47201112000.0,17725.291122598483
2022-12-19,Amberd 3,13076.56,47075616000.0,17678.163988502114
2022-12-20,Amberd 3,13278.3,47801880000.0,17950.895716344945
2022-12-21,Amberd 3,13291.6,47849760000.0,17968.8759482291
2022-12-22,Amberd 3,12070.8,43454880000.0,16318.479926862365
2022-12-23,Amberd 3,11085.9,39909240000.0,14986.996439440923
2022-12-24,Amberd 3,13591.9,48930840000.0,18374.85065761346
