DateTime,Station,Energy Production (kWh)
2023-07-12,Amberd 3,-1293.766364514464
2023-07-13,Amberd 3,-3224.222345966544
2023-07-14,Amberd 3,-3240.6227070189016
2023-07-15,Amberd 3,-3231.0410277486553
2023-07-16,Amberd 3,-2407.525499041036
2023-07-17,Amberd 3,-2473.504911138916
2023-07-18,Amberd 3,-1483.903350848279
2023-07-19,Amberd 3,-838.0989644056244
2023-07-20,Amberd 3,-862.1424584531742
2023-07-21,Amberd 3,-664.9607277803807
2023-07-22,Amberd 3,130.55817185981505
2023-07-23,Amberd 3,-67.15821483064065
2023-07-24,Amberd 3,-466.2639420072155
2023-07-25,Amberd 3,5199.128910058886
2023-07-26,Amberd 3,5309.499676060219
2023-07-27,Amberd 3,921.1782351205475
2023-07-28,Amberd 3,1457.7760290660972
2023-07-29,Amberd 3,1391.0287633261469
2023-07-30,Amberd 3,22.601033311795618
2023-07-31,Amberd 3,-1485.4119585429253
2023-08-01,Amberd 3,3136.2708645501934
2023-08-02,Amberd 3,1784.9589618534465
2023-08-03,Amberd 3,-473.6983766612084
2023-08-04,Amberd 3,853.4925396270246
2023-08-05,Amberd 3,6357.521462824359
2023-08-06,Amberd 3,1781.1447121997335
2023-08-07,Amberd 3,801.4051561078231
2023-08-08,Amberd 3,133.79244745816686
2023-08-09,Amberd 3,-136.62463906226003
2023-08-10,Amberd 3,-548.2809490461514
2023-08-11,Amberd 3,-987.6859376867778
2023-08-12,Amberd 3,-1589.9263845842634
2023-08-13,Amberd 3,-1634.4917656276848
2023-08-14,Amberd 3,-1664.9178527157474
2023-08-15,Amberd 3,135.1411396063504
2023-08-16,Amberd 3,221.7715704513539
2023-08-17,Amberd 3,15.095335719761351
2023-08-18,Amberd 3,45.11572408052962
2023-08-19,Amberd 3,-49.55341038219558
2023-08-20,Amberd 3,-43.30641091182588
2023-08-21,Amberd 3,1396.333350129711
2023-08-22,Amberd 3,-1919.350433112697
2023-08-23,Amberd 3,-156.10677483798827
2023-08-24,Amberd 3,261.3549047755914
2023-08-25,Amberd 3,254.08275228406637
2023-08-26,Amberd 3,39.32156742797088
2023-08-27,Amberd 3,-339.0226517723422
2023-08-28,Amberd 3,-950.8884832761669
2023-08-29,Amberd 3,6445.797384114565
2023-08-30,Amberd 3,2469.182566899972
